Religionen der Föderation in unserer Galaxie Milchstraße;Babylonische Tierkreiszeichen;Erklärung warum Religionen zu Tierkreiszeichen passen;Thomasevangelium;Größenordnung;Transzendentalien, -alien, Strukturalien;andere Sternpolygonreligionen;Messias;Liebe, Ethik, spätere Religionen, Sternpolygone;Altgriechische Namen der Formen der Liebe;Intrinsische emotionale Intention für Sternpolygone;Was man erhält;Was man evolutionär erwirbt;was man braucht und evolutionär erwirbt;was man noch brauchen kann;gegen Sternpolygone sein;gleichförmige Polygone, nicht-Sternpolygone;pro andere Sternpolygone sein;Intention von Transzendenz;Bedeutung Vielfacher von Primzahlen;Licht;Analoge Größenordnungen;Monde als praktische Anwendung von Sonnen und ihrer Theorie;Vertreter höherer Konzepte, deren Religionsgründer noch nicht erschienen;Krankheit;Paradigmenkategorien oder Konzeptkategorien der Zählungen;gegen Sternpolygone sein;Kreativitäts- und Intelligenz-Typ;weitere Formen der Liebe und Wertzuschreibungen;Anführer-Arten;Berufe;Lösungen;Evolutionstheorie;Musik;Jura;Vollkommenheit des Geistes;Sternpolygon;gleichförmiges Polygon;nach innen: gut, lieb, böse, schlecht;nach innen: gut, lieb, böse, schlecht;Gegenteile weise, metaweise,optimal, kooperativ, ehrlich, abstrakt;Gegenteil weise,metaweise,optimal, kooperativ, ehrlich, abstrakt;Extrinsische (ggf. rationale) Motive für gleichförmige Polygone;Inkrementieren Universum;Mondtyp Sternpolygon;W-Fragen der Zählungen;Alpha/Beta-Mann (IMHO);evolutionäres Erlernen von Talenten;pro andere Sternpolygone sein;zeitlich, räumlich;Gegenteil von zeitlich, räumlich;dominiert: männlich oder weiblich;nach außen gut;nach außen böse;Erklärung Transzendentalie pro Strukturgröße;Informatiksicht;Mondtyp gleichförmiges Polygon;Angreifbarkeit Sternpolygon;Angreifbarkeit gleichförmiges Polygon;Glaube bzw. Erkenntnisweg zur Religion;Meinung zu anderen;Gegenteil der Meinung zu anderen;Selbstgerecht;nicht Selbstgerecht;Chef anderer Religionsgründer;model of hierarchical complexity by Michael Commons [bis zu 15 (16), danach ich JOM];Egoismus;Altruismus;geeignet für INCELs;Wirtschaftssystem;Wirtschaftssystem, inwiefern funktionstüchtig?;Erklärung;Religionsgründer: Archonten oder Propheten;irrationale algebraische Zahlen (Wurzelbildung) (Ausgangslage);diffuse abstrakt-philosophische Iteration;„model of hierarchical complexity“ im Bezug zu den Religionen;Universums Viererstruktur;Universums Viererstruktur Grundlage;Universums Viererstruktur Bedeutung;Wesentlich vs. Eigentlich;Ordnung vs. Unordnung
?;Skorpion;Skorpion, weil wenn ein Mädchen mit dem Herz eines Jungen spielt, ist das wie das Stechen eines Skorpions von hinten nach vorn in das Herz;Jesus sagte: Dieser Himmel wird vergehen. Und derjenige, der darüber ist, wird vergehen. Die Toten sind nicht lebendig, und die Lebendigen werden nicht sterben. Während der Tage, in denen ihr das esst, was tot ist, belebt ihr es wieder. Wenn ihr mal im Licht sein werdet, was werdet ihr tun? An dem Tag, an dem ihr Eins geworden seid, werdet ihr zwei sein. Aber wenn ihr zwei geworden seid, was werdet ihr tun? ;Chef eines Mondes, mehrere Monde;Andersheit;?;-;Sexuell-spielerische Liebe, fünftstärkste Liebe – von 6;Ludus;spielerisch leugnend erfassen;?;?;?;Mond-Transzendenz;5;existiert bisher nicht;-;Optimierungs-Selbstlosigkeit, züchtet in Richtung anders;Sherlock (Englisch passt hier besser), leugnet;Mondlicht;ganzes Lebewesen;-;gab es mehrfach;?;Transzendenz empfangen;11 ist gegen 5, weil die 11 spielen will und die 5 sich hervor tut;?;?;?;Mondregierer, Sherlock (Englisches Wort passt hier besser);sich der Gefahr bewusst aussetzen als Absicht;?;?;?;?;Hendegramm;Hendegon;;;;;zu unterscheiden (tun);alles andere was noch möglich ist für ein Gesamtsystem;?;Wofür ist die Welt: zum Genügen (16);Sigma;Problem-Erfassungs-Talent;-;;;;;;Ein Mond braucht einen Anführer der sich abhebt, indem er besonders anders ist;Unterscheidung;;?;?;erfassen;;;;;Chef der schwarzen Sonnen;Systematic (12);;;ein klein wenig gut;?;Utopie bzw. Dystopie;"Wirtschaften, weil man alles als Spiel sieht und weil man verstehen will, aber nie richtig versteht, sondern immer weiter ""spielt"", aber intelligenter sein kann, als ein vernünftiger Mensch. Keine so gute Wirtschaftskraft, wegen der Nachbarschaft zur 12.";?;wahrscheinlich sich nicht in politischen System zurechtzufinden;Flockenbildung;Die 11 sagt, wie der Optimierungsraum der Evolution gestaltet ist. Sie erfasst ihn. Sie spielt mit ihm. Auf diese Art erfasst sie ihn. Deshalb ist die 11 das systemische oder systematische. Die 11 ist, wie auch die 9, besonders unvernünftig wegen direkter Nachbarschaft zur 10.;?;∞;Aneignen;Eigentliches;Unordnung
Jesus 2.0, Christentum 1.x;Waage;Waage wegen dem Konzept der Ordnung, Sachlichkeit und Substanz;Jesus sagte: Die Jünger sagten zu Jesus: Wir wissen, dass du uns verlassen wirst. Wer wird dann unser Führer sein? Jesus sagte zu ihnen: Da, wo ihr hingegangen sein werdet, werdet ihr zu Jakobus den Gerechten gehen, für den Himmel und Erde gemacht worden sind. ;Chef eines Planeten, mehrere Planeten;Wesen;?;3. Fuchs, Jesus 2.0;vernunftbasierte Liebe, schwächste Liebe – von 6;Pragma;sich sortieren;Zugesprochen bekommen von Substanz;?;?;Planeten-Transzendenz;6;existiert bisher nicht;-;Optimierungs-Kooperation, züchtet das, was bei allen Lebewesen ähnlich ist;keine Primzahl;Planetenlicht;ganzes Lebewesen;-;gab es mehrfach;?;Transzendenz empfangen;12 ist gegen 6, weil die 6 eine Extrawurst spielen will, wenn die 12 alles verwalten will;Daten-Abstraktion;?;Anführer, der verwaltet;Planetenregierer, Verwalter;geordneter Rückzug, weil man muss (4) und weil es nutzt (3);?;?;?;?;Dodegramm;Dodegon;;;abstrakt;nicht abstrakt;Beschaffenheit;ein Gesamtsystem um einzelnes umzukehren;?;Wofür ist die Welt: zum Genügen (16);Alpha;Verwaltungstalent;-;;;;;;Ein Planet braucht einen Anführer, der sich auf das Wesentliche mehr noch als auf das Eigentliche konzentriert;Hauptmuster, abgegrenzt vom Detail;;?;?;sortieren;aufs Wesentliche konzentrieren;aufs Eigentliche Konzentrieren;;;Chef der Galaxie-Religionen;Metasystematic (13);egoistisch sein können;altruistisch sein können;ein klein wenig schlecht;?;Utopie bzw. Dystopie;starke Wirtschaftskraft (6*2, obwohl 6 keine Primzahl ist gilt die Logik), fast so stark, wie die 6. Egoismus. Wirtschaften womit man direkt umsetzt (4*3 machen, Existenz), dass der Planet nicht, durch Gefahren von innen sowie außen, vernichtet (3*n) Die 12. Ordnung ist hochgradig kompatibel zur 6. Egoismus als eine Form der Ordnung, aber ist befeindet mit der 6. wobei die 6. das nicht unbedingt ahnt.  Wird. Alles nutzen (3*n), um alles zu machen (4), das alle Lebewesen (2*n) anstreben (zusammen 3*4). Wirtschaften, um dauerhaft immer wieder eine höhere Ordnung (12) herzustellen, und um immer ordnen (12) zu können. Gut für Wirtschaftskraft.;?;wahrscheinlich globale Gefahr;Flocken ordnen (Jesus 2.0 mit der Religion der höheren Ordnung);Die 12 ist dann meta-systematisch. Das bedeutet, dass sie so eine Fähigkeit hat diesen evolutionären Optimierungsraum zu verallgemeinern bzw. irgendwie durchblicken zu können und abstrahieren zu können und so überblicken kann, so wie es die 15 mit der 14 macht.;Grundstruktur, Einordnung;n^m ;Aneignen;Wesentliches;Ordnung
?;Äskulapstab (nicht babylonisch);Penis neben Penis, sogar da wird geholfen, trotzdem nicht Schwul, Ärzte helfen sogar, obwohl sie nicht schwul sind;Jesus sagte zu seinen Jüngern: Vergleicht mich mit irgendwas und sagt mir, wem ich gleiche. Simon Petrus sagte zu ihm: Du gleichst einem gerechten Botschafter. Matthäus sagte zu ihm: Du gleichst einem weisen Philosophen. Thomas sagte zu ihm: Meister, mein Mund ist nicht imstande zu sagen, wem du gleichst. Jesus sagte: Ich bin nicht dein Lehrer, nur weil du dich an der sprudelnden Quelle berauscht hast, die ich hervorströmen ließ. Und er zog ihn zu sich und sagte ihm drei Sprichwörter. Als Thomas zu seinen Gefährten zurückgekehrt war, fragten sie ihn: Was hat dir Jesus gesagt? Thomas sagte zu ihnen: Wenn ich euch einen dieser Sprüche sage, die er mir gesagt hat, werdet ihr Steine aufnehmen und mich steinigen, und ein Feuer wird aus den Steinen hervorkommen und euch verbrennen. ;Verwaltungsgebiet eines schwarzen Loches;Negation, unäre Operation;?;-;die Liebe zum Helfen, vergleichende Ethik;-;Ich-Vollheit: Echtes Helfen oder extrinsisch Existenz beenden lassen;?;?;?;schwarze-Sonne-Transzendenz;7;existiert bisher nicht;-;Optimierungs-Korrektur, züchtet in die umgekehrte Richtung oder verstärkt Züchtung;Volunteer (Englisch passt hier besser), hilft;Schwarzes Loch: Licht absaugen;ganzes Lebewesen;-;Hitler;Borderline;Transzendenz empfangen;13 ist gegen 7, weil manchmal gut zu sein nicht das richtige ist. Manchmal muss man schädigen.;?;?;Anführer, der nur entscheidet, ob es besser weiter geht oder gar nicht;Himmelskörper-um-schwarzes-Loch-Regierer, Volunteer (Englisches Wort passt hier besser.);systematische Vernichtung, weil man es will;?;?;?;?;Tristaidegramm;Tristaidegon;einfach extrinsisch schlecht-schädlich, zweifach extrinsisch lieb, Absicht, keine Modallogik;einfach extrinsisch lieb, zweifach extrinsisch schlecht-schädlich, Absicht, (d.h. um 2 Ecken extrinsisch), keine Modallogik;;;dementieren;einzelnes umzukehren, um dann alles ungleiche kombinieren zu können und so ein höher-wertiges Gesamtsystem zu haben;?;Wofür ist die Welt: zum Genügen (16);Alpha;Talent sich einzuleben;-;;;;;;Ein Anführer eines Gestirns um ein schwarzes Loch braucht einen Anführer, der sich auf einzelne Sachen einzeln konzentriert;unäre (Operation): Negation, Komplement, Vorzeichenwechsel, Komplementärmenge;;?;?;abbilden;;;;;Chef der Universum-Religionen;Paradigmatic (14);;;?;?;Utopie bzw. Dystopie;Chaos erschaffen kann der Wirtschaft kaum dienlich sein (Nachbarschaft zur 12). Hitler war zwar eine 13 und der Nationalsozialismus war stärker als die damaligen Marktwirtschaften, die genau auch eine Kriegswirtschaft auf Schuldenkrediten basierend hatten. Der Nationalsozialismus hätte als Wirtschaftsform jedoch nicht dauerhaft funktioniert, so wie eine Armee, die unter Drogen gesetzt wurde. Das Wirtschaftssystem war auf Kurzfristigkeit und Blitzkrieg ausgelegt. ;?;wahrscheinlich Unterdrückung;aus Flockenordnung Chaos machen;Die 13 sagt aus, wie ein ganzes Paradigma im Prinzip funktioniert, also eine Religion n, z.B. die 3 oder die 10. Wie funktioniert generell ein so eine Zahl überhaupt. Dabei geht es nicht um eine konkrete Zahl und auch nicht um Kombinationen (14) der Zahlen, sondern eine Zahl repräsentiert ein Paradigma. Wie ist das mit Paradigmen denn überhaupt?;?;1;Herausfinden;Eigentliches;Unordnung
Christentum 2.0, Jupiter 4.0;existiert nicht;existiert nicht;"Jesus sagte zu ihnen: Wenn ihr fastet, werdet ihr euch eine Sünde auferlegen. Wenn ihr betet, werdet ihr verdammt werden! Und wenn ihr Almosen gebt, werdet ihr eurem Geist nichts Gutes tun. Sobald ihr aufs Land geht und dort umherwandert, und wenn man euch einlässt, dann esst, was auch vorgesetzt und heilt jene unter ihnen, die krank sind. Denn das, was in euren Mund hinein geht, wird euch nicht schaden; aber das, was euren Mund verlässt, das ist es, was euch schadet. ";Spezies Mensch im galaktischer Föderation;Kombination;?;4. Haustier-Fuchs, Jupiter 4.0;Liebe am Lösen echter Probleme, notwendige Ethik;-;Ich-Losigkeit: Echte Probleme lösen, kombinieren;?;?;?;Galaxie-Transzendenz;8;existiert bisher nicht;-;Optimierungs-Zusammenspiel, Kombination von Züchtungen;keine Primzahl;Galaxielicht;andere Lebensformen;-;Jupiter 3.0, Thomas vom Thomas-Evangelium, der Babylonier von den Tierkreiszeichen;?;Transzendenz empfangen;14 ist gegen 8, weil 8 gerne eine Extrawurst sein will;Steuerungs-Abstraktion;?;Anführer, der nur Probleme lösen will;Regierer in galaktischer Förderation;andere Berücksichtigen und sich nicht, weil man es kann (2) und aus Gutartigkeit (7), so genannter Ego-Tod, Selbstauflösung des Ichs, Vernichtung des Ichs ;?;?;?;?;Tetraidegramm;Tetraidegon;gut sein können, Modallogik: Möglichkeit (◇)  gut sein können;Böse-rebellisch sein können, d.h. eigentlich: Modallogik: keine Notwendigkeit (¬◻) gut sein zu brauchen;;;zusammenfassen;Das höherwertige Gesamtsystem, um des in allen Ebenen zu durchdringen;?;Wofür ist die Welt: zum Genügen (16);Sigma, Omega;Zuständigkeitsfähigkeit;-;;;;;;Eine Spezies in einer galaktischen Föderation braucht einen Anführer der bestens kombinieren kann;Kombination = die prinzipielle und totale Möglichkeit selbst und überhaupt Fragestellungen nach Optimierungs-Gegenständen zu beantworten;;?;?;?;Wohlwollen;extrinsische Abscheu;;;Chef der Multiversum-Religionen;Cross-paradigmatic (15);;;?;?;Utopie bzw. Dystopie;Wirtschaftssystem, dass alle diese Paradigmen und noch mehr kombinieren will und so ein ganzheitliches vollkommenes Wirtschaftssystem etablieren will, das auf alle Lebensformen passt;?;wahrscheinlich Strapazieren von deinem Ich, Aushalten von riesigen Egos anderer Menschen;Durch das Chaos eine Welt machen;Die 14 habe ich überall genug erklärt. Der Kreis (14). Es geht z.B. darum wie man Paradigmen kombinieren kann und die Paradigmen zu überblicken und als Gesamtheit zu erfassen. Das Paradigmenübergreifende.;Kombinationen sind Vielartig. Wahrheiten und Werte können kombiniert werden;n;Herausfinden;Wesentliches;Ordnung
?;existiert nicht;existiert nicht;Jesus sagte: Wenn ihr den seht, der nicht von einer Frau geboren wurde, werft euch mit dem Gesicht auf die Erde und betet ihn an, denn das ist euer Vater. ;Spezies Mensch in intergalaktischen Bündnissen;Reflexivität;?;?;die Liebe dazu, dem größtem Ganzen etwas beizutragen (zu allen im Universum), prinzipielle Ethik;-;Selbstrespekt, nachhaltigen Nutzen generieren , reflexives Weltverständnis;akzeptiert werden;?;?;Universum-Transzendenz;9;existiert bisher nicht;1;Optimierungs-Rückkopplung, züchtet rückgekoppelt in sich selbst;keine Primzahl;Universumlicht;andere Lebensformen;-;Jupiter 3.0;?;Transzendenz empfangen;15 ist gegen 9, weil die 9 andere täuscht, weil sie es nicht beherrscht das zu bewirken was sie will und die 15 den nachhaltigen Nutzen etablieren will;?;?;Anführer, der nur einen nachhaltigen Nutzen generieren will von der größe des Universums;Regierer in intergalaktischer Föderation;Man stellt die Welt infrage, weil man es kann und weil die Infragestellung gültig ist.;?;?;?;?;Pentadegramm;Pentadegon;;;;;Festlegung;Die Durchdringung von allem, um alle Beispielsysteme durchspielen zu können;?;Wofür ist die Welt: zum Genügen (16);Sigma, Alpha;Verantwortungsfähigkeit;Die 15 ist für die 1, weil die 15 aus ihrem Selbstrespekt heraus andere Menschen verachtet, die sich leicht manipulieren lassen;;;;;;Eine Spezies in einer inter-galaktischen Föderation braucht einen Anführer der von allem das Innerste erkennt;Reflexivität;;?;?;?;unvoreingenommen und später verachtend;respektierende Grundhaltung;;;?;Meta-cross-paradigmatic (16), zusätzlich ich JOM: Prädisposition;;;?;?;Utopie bzw. Dystopie;Wirtschaftssystem, bezogen zum Mensch alle Religionen der 3, alle Religionen der 8 und alle Religionen der 10, einbeziehen will. 14 + 15 wären demnach ein 2-dimensionales Paradigmensystem für Wirtschaftssysteme, die bei 14+15 alle in ein Mixtur-System fließen würden.;?;wahrscheinlich Respektlosigkeit von kleinen niederträchtigen Menschen;Mehrere solcher Welten;Die 15 habe ich auch überall genug erklärt. Die Kugel (15). Es geht um einen Überblick, was alle Paradigmen ausmacht, das Meta-Paradigmenübergreifende.;?;∞;Herausfinden;Eigentliches;Unordnung
?;existiert nicht;existiert nicht;Jesus sagte: Vielleicht denken die Menschen, dass ich gekommen bin, um Frieden auf der Welt zu verbreiten. Sie wissen nicht, dass ich gekommen bin, Konflikte über die Erde zu bringen: Feuer, Schwert und Krieg. Denn es werden fünf sein, die in einem Haus sind: drei werden gegen zwei und zwei werden gegen drei sein, der Vater gegen den Sohn, der Sohn gegen den Vater, und sie werden allein dastehen. ;Spezies Mensch in Multiversum (nee oder: Als Bündnis?);Die Aufgabelung bzw.: Klasse der Entscheidbarkeitsprobleme aus der theoretischen Informatik;?;?;Liebe zur Angelegenheit allgemein genug für alle zu sein, evolutionäre Ethik;-;Selbstgenügsamkeit: Anforderungen genügen, überhaupt und allgemein;?;?;?;Immanenz;10;existiert bisher nicht;2;Optimierungs-Inspiration;keine Primzahl;Multiversumlicht;unmögliche Lebensformen;die Anwendung vom Züchten (10-15) ist es für das Multiversum (16) als Universum zu genügen;Wahrscheinlich Religionsgründer von Religion 11 (in rund 700 Jahren);?;Transzendenz empfangen;16 ist gegen 10, weil man mit dem Verstand erkennen würde, dass eine Person der 16 nicht gut genug ist. Deswegen bekämpfen Menschen vom Typ 16 erbittert Menschen von Typ 10.;?;?;?;Zuständiger damit das Universum gut genug für das Multiversum ist;Man findet sich damit ab, die Selbstachtung zu verlieren, weil es zutreffend ist (es gilt [5]).;?;?;?;?;Hexadegramm;Hexadegon;;;;;alle und du sind okay;alle Beispielsysteme durchspielen können, um zu wissen wen man nicht mag;?;Wofür ist die Welt: zum Genügen (16);Alpha;Fähigkeit von anderen angenommen und akzeptiert zu werden;Die 16 ist für die 2, weil die evolutionäre Ethik der 2, für die Menschen ist, die sich fähig sind und sich fortpflanzen können;zeitlich;räumlich;;;;Eine Spezies braucht im Wettstreit mit dem Universum einen Anführer, der „alles“ oder vieles durchprobiert;Klasse der Entscheidbarkeitsprobleme (d.h. Berechenbarkeit, Halteproblem, Abzählbarkeit, semientscheidbar [d.h. rekursiv abzählbar]);;nicht zu genügen;?;?;Die Meinungen anderer Menschen als oberstes Gebot sehen;die Meinung anderer verachten und deshalb nicht hören wollen;selbstgerecht sein können, selbstgenügsam sein wollen, Eine gewünschte Gesellschaft sein können, sofern man sie sich wünschen (8 oder 1/8) würde;Nicht selbstgerecht sein brauchen, nicht selbstgenügsam sein wollen, nicht eine gewünschte Gesellschaft sein brauchen, sofern man sie sich wünschen (8 oder 1/8) würde;?;Es ist die Disposition selbst (und auch gemischt-meta-cross-paradigmatic): Wahl der Paradigmen, um vermuteten Standard der Sitte, Ethik, Moral, des Anstandes zu genügen und sich an der Entscheidbarkeit daran zu prüfen;;;?;?;ganz gut, weil Vielfacher von 8;evolutionäres System der Selbstgenügsamkeit, bei der man sich selbst und nicht anderen etwas vormacht, genug zu sein für Evolution, Das würde dann jeweils die Wirtschaftsform determinieren. ;?;wahrscheinlich, dass so viele andere Menschen überlegen sind;?;Die 16 verallgemeinert das Meta-Paradigmenübergreifende so, wie das Meta-Paradigmenübergreifende das Paradigmenübergreifende verallgemeinert, nur jedoch bezogen auf das Multiversum, statt nur wie bisher auf unser Universum.;Hierarchie;n^m ;Herausfinden;Wesentliches;Ordnung
?;existiert nicht;existiert nicht;Jesus sagte: Ich werde euch geben, was kein Auge jemals gesehen und kein Ohr jemals gehört und was keine Hand jemals berührt hat und was nicht zum Herzen des Menschen aufgestiegen ist. ;irgendetwas virtuell-neuronales;das Absolute;nicht in den nächsten wenigen Jahrtausenden;?;Abneigung;-;Eine sittliche Position beibehalten;?;?;?;Transzendenz-Senden-Fähigkeit;11;existiert bisher nicht;3;siehe oben;Sittenwächter, nicht erkennen;störendes Licht;?;-;Jupiter 3.0;?;Transzendenz senden;17 ist gegen 11, weil 17 abgeneigt ist gegen Spielchen;?;?;?;?;Boykott, weil man es will;?;?;?;?;Heptadegramm;Heptadegon;;;;;Abneigung;wen man nicht mag, um zu wissen wen man mag;?;Wodurch ist die Welt: durch dein Freundeskreis (25);Omega;?;Die 17 ist für die 3, weil Menschen, die etwas zur Fortpflanzung nutzen, geben sich Mühe, und das ist Grund genug nicht abgeneigt zu sein;;;;;;Ein Sittenwächter betrachtet das Absolute;vielleicht irgendwelche klassische KI-Sach-unter-Themen, wie Folgern, Vollständigkeit, Unifkation, usw.?;;?;?;?;Unbehaglichkeit;Behaglichkeit;;;?;Es ist die Position selbst, z.B. Unmut gegen Sitte-, Ethik-, Moral-, Anstand- Verstöße (Anstand, Sitte, Ethik, Moral als eine Angelegenheit des totalen und bloßen Abstrakten!);;;?;?;Utopie bzw. Dystopie;?;?;?;?;?;?;1;Bestimmen;Eigentliches;Unordnung
Jesus 3.0 oder 4.0;existiert nicht;existiert nicht;Die Jünger sagten zu Jesus: Sage uns, wie unser Ende sein wird. Jesus antwortete: Wenn ihr den Anfang entdeckt habt, warum sucht ihr dann schon wieder das Ende? Denn da, wo der Anfang ist, wird auch das Ende sein. Beglückwünscht denjenigen, der sich zu Beginn an den Anfang halten wird, und wird er das Ende erkennen, so wird er den Tod nicht schmecken. ;irgendetwas virtuell-neuronales;die Relation;nicht in den nächsten wenigen Jahrtausenden;vielleicht möglicherweise Jesus 3.0 oder 4.0;Zuneigung;-;?;?;?;?;Transzendenz-Senden-Fähigkeit;12;existiert bisher nicht;4;siehe oben;keine Primzahl;?;?;-;?;?;Transzendenz senden;?;?;?;?;?;?;?;?;?;?;Oktadegramm;Oktadegon;;;kooperativ sein können;nicht kooperativ sein brauchen;Zuneigung;wissen wen man mag, um sein Gehirn zu verändern;?;Wodurch ist die Welt: durch dein Freundeskreis (25);?;?;Die 18 ist für die 4, weil Menschen, die Zuneigung haben mit Menschen Kinder machen (4) wollen;;;;;;Ein sozial aktiver Mensch stellt Vergleiche an;vielleicht irgendwelche klassische KI-Sach-unter-Themen, wie Folgern, Vollständigkeit, Unifkation, usw.?;;?;?;?;;;;;?;Positions-übergreifend (cross-positions);das hier nutzen für den Egoismus;das hier nutzen für den Altruismus;?;?;Utopie bzw. Dystopie;?;?;?;?;?;Relationen sind vielartig. Alles voran gegangene kann man in Relation setzen.;n;Bestimmen;Wesentliches;Ordnung
Bahai 2.0;existiert nicht;existiert nicht;Jesus sagte: Beglückwünscht denjenigen, der zu jenem geworden ist, der er war, bevor er wurde. Wenn ihr meine Jünger werdet und dann auf meine Worte hört, werden diese Steine dort euch dienen. Denn es existieren fünf Bäume im Paradies für euch, die sich niemals verändern, weder im Sommer noch im Winter, und deren Blätter nicht fallen. Derjenige, der diese Bäume kennt, wird den Tod nicht schmecken. ;irgendetwas virtuell-neuronales;das Extreme;nicht in den nächsten wenigen Jahrtausenden;?;;-;?;?;?;?;Transzendenz-Senden-Fähigkeit;13;existiert bisher nicht;5;siehe oben;Motivationsgeber, Religion wirkt nicht;?;?;-;?;?;Transzendenz senden;?;?;?;?;?;?;?;?;?;?;Nonadegramm;Nonadegon;;;;;Fan sein: Kinder bekommen wollen von dem / den Besten in der ganzen Welt.;Gehirn verändern, um zu beschützen;?;Wodurch ist die Welt: durch dein Freundeskreis (25);?;?;Die 19 ist für die 5, weil die 19 Fans sind und Stars aus Film und Fernsehen oft zur 5 gehören.;;;;;;Ein Fan ist von dem Extremen begeistert;vielleicht Wissensbasis;;?;?;?;;;;;?;Meta-positionensübergreifend (meta-cross-positions);;;?;?;Utopie bzw. Dystopie;?;?;?;?;?;?;∞;Bestimmen;Eigentliches;Unordnung
?;existiert nicht;existiert nicht;Die Jünger sagten zu Jesus: Sage uns, was mit dem Himmelreich zu vergleichen ist. Er sagte zu ihnen: Es ist wie ein Senfkorn, dem kleinsten unter allen Samen, aber wenn es auf beackerten Boden fällt, kommt aus ihm ein großer Zweig hervor, der ein Schutz für die Vögel des ganzen Himmels wird. ;irgendetwas virtuell-neuronales;die Klasse;nicht in den nächsten wenigen Jahrtausenden;?;Familienliebe;-;?;?;?;?;Transzendenz-Senden-Fähigkeit;14;existiert bisher nicht;6;siehe oben;keine Primzahl;?;?;-;?;?;Transzendenz senden;?;?;?;?;?;?;?;?;?;?;Ikodegramm;Ikodegon;;;ehrlich sein können;nicht ehrlich sein brauchen;Familienliebe oder Familienrespekt oder beides und mehr, nicht zu Einzelpersonen;beschützen, damit man sich gegenseitig verstehen kann;?;Wodurch ist die Welt: durch dein Freundeskreis (25);?;?;Die 20 ist für die 6, weil die Familie sich an Werten orientiert, wie dass die Kinder diese anstreben sollen, also z.B. Geld verdienen als Beispiel eines materiellen Wertes;;;;;;Ein Familienmensch gehört seiner Klasse an;Unifikation;;?;?;?;;;;;?;Prätransformation;;;?;?;ganz gut, weil Vielfacher von 10;?;?;?;?;?;Klassifizierung;n^m ;Bestimmen;Wesentliches;Ordnung
